City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,273.96,55,51,7.84,RU,1727134932
1,el calafate,-50.3408,-72.2768,274.74,79,66,6.68,AR,1727134685
2,blackmans bay,-43.0167,147.3167,283.0,62,82,1.34,AU,1727134935
3,port lincoln,-34.7333,135.8667,287.98,73,100,2.52,AU,1727134936
4,saint-pierre,-21.3393,55.4781,292.97,73,0,1.54,RE,1727134937
5,port saint john's,-31.6229,29.5448,290.02,70,12,1.94,ZA,1727134938
6,college,64.8569,-147.8028,284.14,50,75,5.66,US,1727134942
7,papatowai,-46.5619,169.4708,280.16,74,97,10.0,NZ,1727134943
8,choibalsan,48.0667,114.5,285.73,43,100,0.98,MN,1727134944
9,thompson,55.7435,-97.8558,286.24,82,75,2.06,CA,1727134945
10,mundri,-6.9558,111.71,300.87,70,86,4.51,ID,1727134946
11,wenchang,30.904,118.4887,293.15,76,52,2.15,CN,1727134947
12,tanjung selor,2.8372,117.3642,300.93,79,41,0.44,ID,1727134948
13,puerto ayora,-0.7393,-90.3518,292.9,96,51,1.79,EC,1727134949
14,tekkali,18.6167,84.2333,299.25,87,100,0.99,IN,1727134950
15,pailon,-17.65,-62.75,304.27,23,1,2.75,BO,1727134952
16,margaret river,-33.95,115.0667,285.91,66,93,4.23,AU,1727134953
17,ngaoundere,7.3167,13.5833,291.72,95,100,0.98,CM,1727134954
18,bethel,41.3712,-73.414,289.78,87,100,0.0,US,1727134946
19,tidjikja,18.5564,-11.4271,303.31,51,27,0.7,MR,1727134956
20,waitangi,-43.9535,-176.5597,284.37,87,54,6.65,NZ,1727134957
21,tiksi,71.6872,128.8694,267.77,87,56,2.36,RU,1727134958
22,ca mau,9.1769,105.15,298.38,90,100,0.36,VN,1727134959
23,sao felix do xingu,-6.6447,-51.995,299.51,61,71,0.68,BR,1727134960
24,lesneven,48.5723,-4.3213,287.71,100,100,4.63,FR,1727134827
25,mangai,-4.05,19.5333,295.15,89,85,0.53,CD,1727134963
26,aasiaat,68.7098,-52.8699,276.08,78,31,2.58,GL,1727134964
27,saudarkrokur,65.7461,-19.6394,276.23,61,26,1.03,IS,1727134965
28,gadzhiyevo,69.2551,33.3362,278.09,90,100,4.54,RU,1727134966
29,yellowknife,62.456,-114.3525,285.6,57,75,7.2,CA,1727134734
30,ilulissat,69.2167,-51.1,276.16,75,47,0.51,GL,1727134968
31,jamestown,42.097,-79.2353,292.95,100,100,1.54,US,1727134969
32,edinburgh of the seven seas,-37.0676,-12.3116,285.72,79,3,6.89,SH,1727134971
33,graham,47.0529,-122.2943,297.42,67,0,2.06,US,1727134972
34,west island,-12.1568,96.8225,298.14,94,91,2.57,CC,1727134974
35,port-aux-francais,-49.35,70.2167,273.74,62,96,11.44,TF,1727134975
36,yuzhno-kurilsk,44.0306,145.8556,286.93,62,20,3.82,RU,1727134976
37,nosy varika,-20.5833,48.5333,292.85,93,99,4.41,MG,1727134977
38,ribeira brava,32.65,-17.0667,295.5,72,5,0.92,PT,1727134978
39,grytviken,-54.2811,-36.5092,274.81,84,77,2.81,GS,1727134980
40,huarmey,-10.0681,-78.1522,289.83,94,18,5.62,PE,1727134981
41,acapulco de juarez,16.8634,-99.8901,301.05,83,100,5.14,MX,1727134982
42,san patricio,28.017,-97.5169,305.12,54,20,5.06,US,1727134983
43,coronel dorrego,-38.7187,-61.2873,284.64,40,87,2.46,AR,1727134984
44,bowen,-20.0167,148.2333,297.19,66,36,8.05,AU,1727134985
45,polyarnyy,69.1989,33.4478,277.94,88,100,4.11,RU,1727134986
46,notodden,59.5594,9.2585,284.68,75,100,1.7,NO,1727134987
47,ushuaia,-54.8,-68.3,272.96,93,75,2.57,AR,1727134752
48,ribeira grande,38.5167,-28.7,297.47,94,70,5.36,PT,1727134990
49,mantua,45.1667,10.7833,289.85,97,100,0.89,IT,1727134991
50,acarau,-2.8856,-40.12,298.17,83,6,8.04,BR,1727134992
51,northam,51.0333,-4.2167,286.82,95,100,6.6,GB,1727134993
52,plastun,44.7561,136.2939,288.51,56,100,1.04,RU,1727134994
53,kirakira,-10.4544,161.9205,303.07,67,57,3.08,SB,1727134995
54,fort mcmurray,56.7268,-111.381,288.92,77,100,1.54,CA,1727134996
55,igarka,67.4667,86.5833,277.92,92,97,9.75,RU,1727134997
56,adamstown,-25.066,-130.1015,292.74,73,100,5.96,PN,1727134999
57,yamethin,20.4333,96.15,295.94,96,100,1.73,MM,1727135000
58,ketchikan,55.3422,-131.6461,288.41,88,75,7.72,US,1727134785
59,vieste,41.8825,16.175,295.4,81,91,4.05,IT,1727135002
60,mhamid,29.82,-5.72,301.24,51,24,3.34,MA,1727135003
61,anadyr,64.75,177.4833,279.82,65,0,4.0,RU,1727135004
62,verkh-chebula,56.0308,87.6218,278.14,83,66,5.52,RU,1727135005
63,grand falls-windsor,48.9332,-55.6649,284.54,88,98,0.45,CA,1727134813
64,avarua,-21.2078,-159.775,299.18,73,3,7.72,CK,1727135009
65,saint-philippe,-21.3585,55.7679,294.0,91,19,1.29,RE,1727135010
66,ocean city,39.2776,-74.5746,291.48,76,99,4.02,US,1727134901
67,bredasdorp,-34.5322,20.0403,287.11,88,21,1.71,ZA,1727135012
68,hadibu,12.65,54.0333,299.38,80,2,6.75,YE,1727135013
69,rawala kot,33.8578,73.7604,291.64,61,0,2.09,PK,1727135014
70,gulf breeze,30.3571,-87.1639,302.6,65,20,3.09,US,1727134728
71,port elizabeth,-33.918,25.5701,289.44,97,0,2.06,ZA,1727135018
72,tsiombe,-25.3,45.4833,291.5,61,0,5.78,MG,1727135019
73,plover,44.4564,-89.544,291.21,69,0,2.06,US,1727135020
74,namibe,-15.1961,12.1522,290.96,86,96,6.24,AO,1727135021
75,oyem,1.5995,11.5793,292.58,100,100,0.86,GA,1727135022
76,badger,64.8,-147.5333,284.1,54,75,5.66,US,1727135023
77,wailua homesteads,22.0669,-159.378,301.59,67,20,5.66,US,1727135025
78,mount gambier,-37.8333,140.7667,287.31,79,100,3.24,AU,1727135026
79,st. john's,47.5649,-52.7093,285.25,85,100,5.14,CA,1727134916
80,magadan,59.5667,150.8,280.91,77,100,1.72,RU,1727135028
81,whitehorse,60.7161,-135.0538,286.58,58,75,7.72,CA,1727134867
82,invercargill,-46.4,168.35,280.94,77,91,6.71,NZ,1727135030
83,cockburn town,21.4612,-71.1419,303.13,79,40,3.6,TC,1727134774
84,port mathurin,-19.6833,63.4167,295.09,80,9,7.83,MU,1727135034
85,afaahiti,-17.75,-149.2833,299.02,71,0,2.67,PF,1727135035
86,albany,42.6001,-73.9662,290.17,67,100,1.71,US,1727134833
87,ladnun,27.65,74.3833,302.3,50,0,2.02,IN,1727135037
88,hermanus,-34.4187,19.2345,286.93,71,58,1.07,ZA,1727135038
89,ust-nera,64.5667,143.2,271.22,82,79,1.16,RU,1727135039
90,lautoka,-17.6167,177.4667,302.07,61,75,4.12,FJ,1727135040
91,rio gallegos,-51.6226,-69.2181,278.18,56,40,9.77,AR,1727134744
92,kristiansund,63.1115,7.732,279.89,93,100,1.03,NO,1727135042
93,bilibino,68.0546,166.4372,276.98,99,100,2.33,RU,1727135044
94,atafu village,-8.5421,-172.5159,301.25,76,88,3.06,TK,1727135045
95,hasaki,35.7333,140.8333,295.79,57,100,8.27,JP,1727135046
96,saldanha,-33.0117,17.9442,286.18,97,2,8.89,ZA,1727135047
97,mangrol,21.1167,70.1167,299.84,83,100,5.95,IN,1727135048
98,muisne,0.6,-80.0333,297.16,83,100,6.54,EC,1727135049
99,san antonio de pale,-1.4014,5.6325,298.25,82,87,5.89,GQ,1727135050
100,kailua-kona,19.6406,-155.9956,302.35,71,20,4.12,US,1727135051
101,new norfolk,-42.7826,147.0587,283.66,42,87,1.64,AU,1727135052
102,pisco,-13.7,-76.2167,291.18,82,0,7.2,PE,1727135054
103,talnakh,69.4865,88.3972,280.22,91,100,4.95,RU,1727135055
104,talcahuano,-36.7167,-73.1167,284.97,82,75,3.09,CL,1727135056
105,yeed,4.55,43.0333,297.19,65,61,7.96,SO,1727135057
106,sarai,53.7458,41.0213,279.94,49,41,2.71,RU,1727135058
107,georgetown,5.4112,100.3354,300.11,87,20,1.03,MY,1727134900
108,dunedin,-45.8742,170.5036,282.48,67,48,6.71,NZ,1727135060
109,lompoc,34.6391,-120.4579,294.38,73,6,5.66,US,1727135061
110,baise city,23.8997,106.6133,295.14,78,30,0.65,CN,1727135063
111,kone,-21.0595,164.8658,302.21,46,87,4.03,NC,1727135064
112,hotan,37.0997,79.9269,295.21,27,0,0.64,CN,1727135065
113,roma,43.2128,-75.4557,290.23,72,100,3.6,US,1727135066
114,sitka,57.0531,-135.33,286.09,82,75,6.17,US,1727135067
115,stanley,54.868,-1.6985,283.86,97,75,2.57,GB,1727135068
116,fale old settlement,-9.3852,-171.2468,300.95,75,100,2.04,TK,1727135069
117,kingman,35.1894,-114.053,307.68,8,0,2.68,US,1727135070
118,inverell,-29.7833,151.1167,296.85,61,100,3.13,AU,1727135071
119,hammerfest,70.6634,23.6821,278.4,75,100,7.2,NO,1727135073
120,olonkinbyen,70.9221,-8.7187,273.93,70,88,1.57,SJ,1727135074
121,chernyshevskiy,63.0128,112.4714,278.49,96,70,2.09,RU,1727135075
122,yorkton,51.2167,-102.4677,290.06,67,100,5.14,CA,1727134829
123,kidal,18.4411,1.4078,305.93,34,1,3.44,ML,1727135077
124,mulayjah,27.271,48.4242,303.39,30,0,2.73,SA,1727135078
125,bartica,6.4,-58.6167,298.34,83,100,1.53,GY,1727135079
126,roha,18.4333,73.1167,297.8,97,100,1.0,IN,1727135080
127,jacmel,18.2342,-72.5347,300.45,76,100,1.59,HT,1727135082
128,puerto natales,-51.7236,-72.4875,273.99,92,100,4.79,CL,1727135083
129,qaqortoq,60.7167,-46.0333,276.52,98,79,1.52,GL,1727135084
130,arraial do cabo,-22.9661,-42.0278,295.7,87,0,11.61,BR,1727134830
131,bridgewater,44.3835,-64.5155,287.97,82,42,2.57,CA,1727135018
132,cumana,10.4635,-64.1775,301.74,79,46,4.87,VE,1727135001
133,luganville,-15.5333,167.1667,297.11,94,100,2.52,VU,1727135089
134,pacific grove,36.6177,-121.9166,302.25,77,0,2.24,US,1727135091
135,mwene-ditu,-7.0,23.45,293.69,70,45,1.2,CD,1727135092
136,lebu,-37.6167,-73.65,282.74,85,38,0.13,CL,1727135016
137,whakatane,-37.9585,176.9854,292.32,68,14,3.13,NZ,1727135094
138,xilin hot,43.9667,116.0333,287.37,63,100,4.07,CN,1727135095
139,cooper's town,26.8667,-77.5167,301.06,64,11,6.69,BS,1727135097
140,kavieng,-2.5744,150.7967,301.87,74,83,5.61,PG,1727135098
141,belel,7.05,14.4333,290.02,95,98,0.9,CM,1727135099
142,brookings,44.3114,-96.7984,294.15,43,0,6.69,US,1727135100
143,carutapera,-1.195,-46.02,298.8,81,25,4.07,BR,1727135101
144,alotau,-10.3069,150.4462,302.54,68,34,2.99,PG,1727135102
145,keflavik,64.0049,-22.5624,278.39,75,75,1.54,IS,1727135103
146,filingue,14.3521,3.3168,302.55,63,88,4.19,NE,1727135104
147,vallegrande,-18.4897,-64.1069,290.61,44,6,3.3,BO,1727135106
148,westport,41.1415,-73.3579,290.88,79,100,1.79,US,1727135107
149,atakpame,7.5333,1.1333,294.87,97,27,1.4,TG,1727135108
150,kapuskasing,49.4169,-82.4331,287.15,58,20,1.03,CA,1727135109
151,vadso,70.0744,29.7487,277.24,87,100,5.14,NO,1727135110
152,hithadhoo,-0.6,73.0833,301.09,76,54,4.97,MV,1727135111
153,udachny,66.4167,112.4,279.47,91,100,3.91,RU,1727135114
154,pingzhuang,42.0372,119.2889,286.82,68,2,2.73,CN,1727135115
155,bochum,51.4833,7.2167,287.56,86,100,2.29,DE,1727135116
156,isafjordur,66.0755,-23.124,276.79,72,34,1.8,IS,1727135117
157,neryungri,56.6709,124.6491,280.78,81,93,0.78,RU,1727135118
158,snovsk,51.8239,31.9428,285.34,53,28,3.24,UA,1727135119
159,happy valley-goose bay,53.3168,-60.3315,282.32,81,20,2.57,CA,1727135120
160,fortuna,40.5982,-124.1573,293.66,68,20,4.63,US,1727135121
161,waddan,29.1614,16.139,301.83,45,57,2.19,LY,1727135123
162,dudinka,69.4058,86.1778,279.15,82,100,6.09,RU,1727135124
163,coquimbo,-29.9533,-71.3436,287.58,64,0,3.09,CL,1727134846
164,ke-macina,13.9623,-5.3572,298.9,77,100,4.46,ML,1727135126
165,asosa,10.0667,34.5333,288.99,84,69,1.36,ET,1727135127
166,longyearbyen,78.2186,15.6401,269.06,86,20,1.54,SJ,1727135128
167,souillac,-20.5167,57.5167,294.36,83,20,1.54,MU,1727135129
168,qarqaraly,49.4058,75.4742,279.45,66,57,1.65,KZ,1727135132
169,paita,-5.0892,-81.1144,290.03,96,69,8.1,PE,1727135133
170,kodiak,57.79,-152.4072,285.88,62,75,8.23,US,1727135134
171,barra de santo antonio,-9.4047,-35.5072,297.31,74,5,4.73,BR,1727135135
172,tazovsky,67.4667,78.7,278.74,93,100,5.79,RU,1727135136
173,vila velha,-20.3297,-40.2925,297.12,88,0,4.12,BR,1727135115
174,shimoda,34.6667,138.95,294.2,72,72,10.25,JP,1727135138
175,nova sintra,14.8667,-24.7167,298.8,91,100,6.64,CV,1727135139
176,fuli,46.7217,131.1394,288.64,61,57,0.93,CN,1727135141
177,uturoa,-16.7333,-151.4333,299.5,75,7,2.11,PF,1727135142
178,chonchi,-42.6128,-73.8092,279.33,98,80,2.96,CL,1727135143
179,weno,7.4515,151.8468,304.12,74,40,0.0,FM,1727135144
180,karratha,-20.7377,116.8463,296.75,72,6,4.06,AU,1727135145
181,brisas de zicatela,15.8369,-97.0419,296.44,94,100,6.17,MX,1727135146
182,bikenibeu village,1.3673,173.1241,304.13,70,40,4.12,KI,1727135147
183,maun,-19.9833,23.4167,296.13,46,0,7.2,BW,1727134986
184,tera,14.0078,0.7531,299.93,75,89,2.37,NE,1727135082
185,ghadamis,30.1337,9.5007,300.94,44,88,3.36,LY,1727135151
186,prince rupert,54.3161,-130.3201,285.98,100,100,6.69,CA,1727134980
187,constantia,44.1833,28.65,288.54,66,0,2.15,RO,1727135061
188,san nicolas,18.1725,120.5953,299.1,100,75,1.54,PH,1727135154
189,carnarvon,-24.8667,113.6333,291.68,70,0,11.38,AU,1727135155
190,guiyang,26.5833,106.7167,287.42,88,0,2.0,CN,1727135156
191,nabire,-3.3667,135.4833,299.7,79,100,1.29,ID,1727135157
192,lazaro cardenas,17.9583,-102.2,301.54,86,92,2.83,MX,1727135158
193,undurkhaan,47.3194,110.6556,283.54,70,87,2.76,MN,1727135159
194,sampit,-2.5333,112.95,299.6,83,26,0.53,ID,1727135161
195,sao gabriel da cachoeira,-0.1303,-67.0892,298.84,80,69,0.77,BR,1727135162
196,codrington,-38.2667,141.9667,288.16,79,100,4.92,AU,1727135163
197,hilo,19.7297,-155.09,302.01,74,75,5.66,US,1727135164
198,akureyri,65.6835,-18.0878,274.11,80,0,0.0,IS,1727135165
199,merritt island,28.5392,-80.672,301.48,75,0,3.6,US,1727135166
200,nagqu,31.5,92.0,272.9,89,81,1.3,CN,1727135167
201,syumsi,57.1111,51.6149,273.79,67,0,1.93,RU,1727135168
202,ar rutbah,33.0381,40.2848,296.95,43,26,2.99,IQ,1727135171
203,colonia,50.9333,6.95,287.01,85,0,1.54,DE,1727135172
204,geraldton,-28.7667,114.6,288.38,82,43,4.63,AU,1727135173
205,flin flon,54.7682,-101.865,291.06,52,40,5.14,CA,1727135174
206,agnibilekrou,7.1344,-3.2047,294.84,99,50,1.81,CI,1727135175
207,gobabis,-22.45,18.9667,292.87,58,92,4.08,NA,1727135176
208,nar'yan-mar,67.6713,53.087,272.72,80,97,3.51,RU,1727135177
209,timimoun,29.2639,0.231,299.36,61,0,2.06,DZ,1727135179
210,ancud,-41.8697,-73.8203,279.76,73,92,5.25,CL,1727135180
211,greymouth,-42.4667,171.2,284.33,67,56,8.84,NZ,1727135181
212,remire-montjoly,4.9167,-52.2667,301.17,83,0,1.54,GF,1727135182
213,coahuayana de hidalgo,18.7,-103.6583,301.39,89,78,1.53,MX,1727135183
214,touros,-5.1989,-35.4608,297.6,78,4,6.44,BR,1727135184
215,minas de marcona,-15.2119,-75.1103,286.46,77,19,4.6,PE,1727135185
216,constitucion,-35.3333,-72.4167,282.5,83,0,3.37,CL,1727135186
217,sainte-rose,16.3324,-61.6979,301.17,74,64,3.09,GP,1727135187
218,usogorsk,63.4106,48.6872,277.69,95,100,3.26,RU,1727135189
219,saipan,15.1355,145.701,301.54,89,20,1.54,MP,1727135190
220,sisimiut,66.9395,-53.6735,279.63,72,46,1.8,GL,1727135191
221,newman,37.3138,-121.0208,311.46,12,4,2.53,US,1727135192
222,betio village,1.358,172.9211,304.17,73,68,5.35,KI,1727135193
223,ippy,6.2679,21.2247,294.02,96,100,0.64,CF,1727135194
224,dursunbey,39.586,28.6257,286.86,79,0,1.49,TR,1727135195
225,east london,-33.0153,27.9116,292.33,56,53,2.86,ZA,1727135116
226,pontianak,-0.0333,109.3333,298.14,94,20,2.06,ID,1727135198
227,daru,-9.0763,143.2092,299.64,85,92,7.57,PG,1727135199
228,santo antonio do sudoeste,-26.0736,-53.7253,297.09,55,34,1.45,BR,1727135200
229,benjamin constant,-4.3831,-70.0311,301.22,83,20,0.0,BR,1727134918
230,parkes,-33.1333,148.1833,296.68,30,100,5.95,AU,1727135202
231,whitby,54.4877,-0.615,285.86,96,100,3.13,GB,1727135203
232,san ignacio rio muerto,27.4167,-110.2333,307.47,24,0,6.43,MX,1727135204
233,port-gentil,-0.7193,8.7815,297.13,100,40,1.54,GA,1727135015
234,hamilton,39.1834,-84.5333,294.69,91,40,2.06,US,1727134946
235,alice springs,-23.7,133.8833,289.9,77,100,8.23,AU,1727135208
236,akbarabad,29.2464,52.7793,294.92,30,0,1.21,IR,1727135209
237,lihue,21.9789,-159.3672,301.92,64,20,5.66,US,1727135210
238,lorengau,-2.0226,147.2712,300.89,77,96,3.37,PG,1727135211
239,holualoa,19.6228,-155.9522,300.06,78,20,4.12,US,1727135212
240,mpika,-11.8343,31.4529,287.7,89,24,3.01,ZM,1727135213
241,imperia,43.9667,7.7833,287.82,95,85,1.48,IT,1727135214
242,lodja,-3.4833,23.4333,294.57,79,74,0.32,CD,1727135216
243,hun,29.1268,15.9477,301.35,46,45,1.13,LY,1727135217
244,papao,-17.75,-149.55,301.97,72,0,3.27,PF,1727135218
245,vila franca do campo,37.7167,-25.4333,297.38,94,70,3.55,PT,1727135219
246,baotou,40.6522,109.8222,289.25,59,27,3.15,CN,1727135220
247,port hedland,-20.3167,118.5667,298.18,83,40,3.09,AU,1727135221
248,malvan,16.0667,73.4667,299.84,88,100,5.96,IN,1727135222
249,campo viera,-27.3833,-55.0333,299.26,49,0,1.77,AR,1727135223
250,zaranj,30.9667,61.8833,299.53,20,0,5.87,AF,1727135225
251,bondoukou,8.0333,-2.8,294.52,98,56,1.65,CI,1727135226
252,mockern,52.1333,11.95,290.36,90,100,1.45,DE,1727135227
253,rongelap,11.1635,166.8941,301.76,75,54,4.45,MH,1727135228
254,ikang,4.7898,8.5316,296.94,94,99,0.49,NG,1727135229
255,batang,-6.4846,110.7083,301.19,71,99,1.66,ID,1727135230
256,port alfred,-33.5906,26.891,291.85,72,33,5.18,ZA,1727135232
257,salinas,36.6777,-121.6555,304.14,52,0,5.14,US,1727135049
258,kruisfontein,-34.0033,24.7314,291.12,62,81,1.97,ZA,1727135235
259,hawaiian paradise park,19.5933,-154.9731,301.89,75,75,5.66,US,1727135236
260,siwana,25.6333,72.4167,302.23,63,21,2.57,IN,1727135237
261,la passe,45.5549,-0.8967,289.04,82,100,7.39,FR,1727135238
262,nemuro,43.3236,145.575,286.1,66,3,3.82,JP,1727135239
263,alofi,-19.0595,-169.9187,297.09,88,75,5.14,NU,1727135240
264,iqaluit,63.7506,-68.5145,276.0,86,20,3.09,CA,1727135241
265,utrik,11.2278,169.8474,301.58,76,20,4.59,MH,1727135242
266,pimentel,-6.8367,-79.9342,291.31,82,100,10.29,PE,1727135244
267,port augusta,-32.5,137.7667,287.27,77,100,1.86,AU,1727135245
268,hondo,32.45,130.2,297.2,69,10,3.65,JP,1727135246
269,kerikeri,-35.2268,173.9474,291.9,45,11,4.16,NZ,1727135247
270,o rosal,41.9354,-8.8368,286.73,91,100,3.96,ES,1727135248
271,klyuchi,52.2667,79.1667,278.85,67,16,3.74,RU,1727135249
272,bubaque,11.2833,-15.8333,300.09,84,100,3.21,GW,1727135250
273,san luis de la loma,17.2706,-100.8939,300.36,89,100,3.6,MX,1727135251
274,punta arenas,-53.15,-70.9167,275.21,87,75,11.32,CL,1727134994
275,mooresville,35.5849,-80.8101,296.77,91,70,2.42,US,1727135254
276,brak,27.5496,14.2714,301.84,45,17,9.02,LY,1727135255
277,dzhetygara,52.1908,61.2006,277.49,69,1,3.34,KZ,1727135256
278,chesapeake,36.819,-76.2749,294.24,79,100,5.14,US,1727135257
279,chivilcoy,-34.8957,-60.0167,285.19,61,0,3.73,AR,1727135140
280,kuraymah,18.55,31.85,306.06,18,9,6.79,SD,1727135259
281,zeerust,-25.5369,26.0751,284.83,65,81,3.75,ZA,1727135260
282,djibo,14.1022,-1.6306,299.2,76,100,3.43,BF,1727135264
283,bourbon-lancy,46.6221,3.7695,287.98,92,83,3.93,FR,1727135265
284,ust'-kut,56.7938,105.7672,280.19,91,42,2.08,RU,1727135266
285,darwin,-12.4611,130.8418,302.56,65,40,3.6,AU,1727135227
